trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",20,5,9.043769743027813,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",25,15,16.337345614697377,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",25,15,11.036070520320134,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",20,9,-35.43834432086294,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",25,7,10.138355605472006,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",25,9,7.080700582066887,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,9,12.160634901592122,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",30,5,-14.367393938935617,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",35,12,-39.83162396714064,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",25,2,-10.271824126520915,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",20,6,16.81937568875314,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",20,4,-26.105337949079814,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",20,0,-69.98274456089217,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",25,11,0.20527385055327851,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",20,13,12.286806767798316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111554}",25,4,5.4721691091307765,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",20,0,-12.06924862050063,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",30,0,-69.35263196284798,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",20,3,10.206985397147653,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",25,6,-34.91915527746943,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",20,15,10.37764760183774,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",20,3,-31.282468153784222,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",20,12,-21.81803735820885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",30,8,1.2911390706828392,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",30,0,30.735429355166342,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",30,7,-95.46835823713934,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",20,5,-1.3765461669387593,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",25,8,-18.102023094176122,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
